10,1,2537585000.0,3328500000.0,7608000.0,1148808000.0
10,3,7609585000.0,9985500000.0,7608000.0,3431208000.0
10,5,12681585000.0,16642500000.0,7608000.0,5713608000.0
25,1,5731580000.0,8056062500.0,880391062.8730252,1735584000.0
25,3,17187580000.0,24166062500.0,2625593953.4316635,5172384000.0
25,5,28643580000.0,40276062500.0,4370796843.990302,8609184000.0
50,1,9958220000.0,9958220000.0,3686326879.853012,9484256000.0
50,3,29862220000.0,29862220000.0,11035076119.255455,28393056000.0
50,5,49766220000.0,49766220000.0,18383825358.657894,47301856000.0
75,1,14501057500.0,14501057500.0,6705727847.549309,13810876000.0
75,3,43485057500.0,43485057500.0,20084368238.133022,41345676000.0
75,5,72469057500.0,72469057500.0,33463008628.716743,68880476000.0
100,1,19864407500.0,19864407500.0,7726433338.012633,18918956000.0
100,3,59568407500.0,59568407500.0,23131037374.655186,56637756000.0
100,5,99272407500.0,99272407500.0,38535641411.29773,94356556000.0
