10,1,317396250.0,317396250.0,67055594.88758423,260574000.0
10,3,951396250.0,951396250.0,196559645.604661,767774000.0
10,5,1585396250.0,1585396250.0,326059977.02798516,1274974000.0
25,1,716895000.0,716895000.0,315246603.4781666,588552000.0
25,3,2148895000.0,2148895000.0,937885695.9434985,1734152000.0
25,5,3580895000.0,3580895000.0,1560524788.4088304,2879752000.0
50,1,1245555000.0,1245555000.0,294716196.83657604,1022568000.0
50,3,3733555000.0,3733555000.0,865728974.4186054,3012968000.0
50,5,6221555000.0,6221555000.0,1436741752.000635,5003368000.0
75,1,1813764375.0,1813764375.0,430667414.2860818,1489053000.0
75,3,5436764375.0,5436764375.0,1265189085.2516148,4387453000.0
75,5,9059764375.0,9059764375.0,2099710756.217148,7285853000.0
100,1,2484601875.0,2484601875.0,2295684823.149911,2039793000.0
100,3,7447601875.0,7447601875.0,6877871134.388036,6010193000.0
100,5,12410601875.0,12410601875.0,11460061727.809544,9980593000.0
