10,1,1269585000.0,2060500000.0,6974000.0,577574000.0
10,3,3805585000.0,6181500000.0,6974000.0,1718774000.0
10,5,6341585000.0,10302500000.0,6974000.0,2859974000.0
25,1,2867580000.0,5192062500.0,609567717.3465797,874952000.0
25,3,8595580000.0,15574062500.0,1817785103.1179445,2593352000.0
25,5,14323580000.0,25956062500.0,3026002488.88931,4311752000.0
50,1,4982220000.0,4982220000.0,2552072455.2828546,4754568000.0
50,3,14934220000.0,14934220000.0,7639668082.561468,14208968000.0
50,5,24886220000.0,24886220000.0,12727263709.84008,23663368000.0
75,1,7255057500.0,7255057500.0,4642459425.412412,6923553000.0
75,3,21747057500.0,21747057500.0,13904595080.431908,20690953000.0
75,5,36239057500.0,36239057500.0,23166730735.4514,34458353000.0
100,1,9938407500.0,9938407500.0,5349104978.811295,9484293000.0
100,3,29790407500.0,29790407500.0,16013830850.33306,28343693000.0
100,5,49642407500.0,49642407500.0,26678556721.854824,47203093000.0
